,child_friendly,continent,country,max_altitude,min_altitude,resort_name,season,ski_pass_price,url,beginner_slopes,intermediate_slopes,difficult_slopes,t-bar_lifts,chairlifts,gondolas,snowpark,night_skiing,snow_cannons,country_iso,altitude_diff,total_slopes,season_start,season_end
43,True,Europe,Switzerland,2611.0,1142.0,Madrisa (Davos Klosters),December - March,52,https://ski-resort-stats.com/madrisa-davos-klosters,6.9,9.9,9.2,7,2.0,1.0,True,False,9.0,CHE,1469.0,26.0,December,March
44,True,Europe,Switzerland,2590.0,1540.0,Jakobshorn (Davos Klosters),December - April,58,https://ski-resort-stats.com/jakobshorn-davos-klosters,25.5,13.2,2.5,5,5.0,3.0,True,False,140.0,CHE,1050.0,41.2,December,April
45,True,Europe,Switzerland,2483.0,1800.0,Pischa (Davos Klosters),December - April,40,https://ski-resort-stats.com/pischa-davos-klosters,25.5,13.2,2.5,0,0.0,1.0,False,False,,CHE,683.0,41.2,December,April
46,True,Europe,Switzerland,3016.0,1343.0,Glacier 3000 / Les Diablerets,October - May,54,https://ski-resort-stats.com/glacier-3000-les-diablerets,9.7,3.2,12.1,4,3.0,3.0,True,False,,CHE,1673.0,25.0,October,May
47,True,America,Canada,2285.0,1508.0,Big White,November - April,61,https://ski-resort-stats.com/Big-white,18.9,56.7,,3,10.0,,True,True,,CAN,777.0,75.6,November,April
48,True,Europe,Austria,3082.0,1793.0,Obergurgl-Hochgurgl,November - May,50,https://ski-resort-stats.com/obergurgl-hochgurgl,35.0,55.0,20.0,13,7.0,8.0,True,True,320.0,AUT,1289.0,110.0,November,May
49,True,Rest of the world,New Zealand,1649.0,1229.0,Coronet Peak,June - October,74,https://ski-resort-stats.com/coronet-peak,8.0,16.0,16.0,5,3.0,0.0,True,True,202.0,NZL,420.0,40.0,June,October
50,True,Europe,France,3560.0,1280.0,Les Deux alpes,December - April June - August October - November,49,https://ski-resort-stats.com/les-deux-alpes,110.0,56.0,34.0,26,21.0,7.0,True,True,224.0,FRA,2280.0,200.0,December,April
51,True,America,Chile,3670.0,2860.0,Valle Nevado,June - October,64,https://ski-resort-stats.com/valle-nevado,4.0,14.4,21.6,9,5.0,1.0,True,False,,CHL,810.0,40.0,June,October
52,True,Rest of the world,Australia,1572.0,1460.0,Ben Lomond,July - September,47,https://ski-resort-stats.com/Ben-Lomond,,,,,,,,,,AUS,112.0,0.0,July,September
53,True,America,Chile,3310.0,2580.0,Portillo,June - October,57,https://ski-resort-stats.com/portillo,10.0,4.0,6.0,9,5.0,0.0,False,False,,CHL,730.0,20.0,June,October
54,True,America,Argentina,2180.0,1030.0,Catedral Alta Patagonia,June - October,51,https://ski-resort-stats.com/catedral-alta-patagonia,30.0,60.0,30.0,19,17.0,2.0,True,False,,ARG,1150.0,120.0,June,October
55,True,America,Canada,2284.0,653.0,Whistler,November - May June - August,93,https://ski-resort-stats.com/Whistler,40.0,110.0,50.0,14,18.0,5.0,True,False,300.0,CAN,1631.0,200.0,November,May
56,True,Europe,Austria,3212.0,1697.0,Stubai Glacier,September - June,46,https://ski-resort-stats.com/stubai-glacier,19.0,15.0,4.0,14,7.0,5.0,True,False,69.0,AUT,1515.0,38.0,September,June
57,True,Europe,Norway,1460.0,1200.0,Fonna Glacier,May - September,42,https://ski-resort-stats.com/Fonna-Glacier,2.5,2.5,0.0,1,0.0,0.0,True,False,,NOR,260.0,5.0,May,September
58,True,Europe,France,3456.0,1550.0,Tignes - Val d'Isère,November - May June - August,56,https://ski-resort-stats.com/tignes-%E2%80%8Bval-disere,170.0,78.0,52.0,33,42.0,11.0,True,False,848.0,FRA,1906.0,300.0,November,May
59,True,Europe,France,3167.0,1207.0,La Plagne (Paradiski),December - April,50,https://ski-resort-stats.com/la-plagne-paradiski,139.0,57.0,27.0,56,32.0,12.0,True,False,417.0,FRA,1960.0,223.0,December,April
60,True,Europe,France,2720.0,1550.0,Les Orres,December - April,35,https://ski-resort-stats.com/Les-Orres,30.0,60.0,10.0,11,9.0,0.0,True,False,190.0,FRA,1170.0,100.0,December,April
61,True,Europe,France,2069.0,1000.0,Espace Diamant-Les Saisies/Notre-Dame-de-Bellecombe/Praz sur Arly/Flumet/Crest-Voland,December - April,40,https://ski-resort-stats.com/espace-diamant-les-saisies%E2%80%8Bnotre-dame-de-bellecombe%E2%80%8Bpraz-sur-arly%E2%80%8Bflumet%E2%80%8Bcrest-voland,132.0,49.0,11.0,53,30.0,0.0,True,True,472.0,FRA,1069.0,192.0,December,April
